Total_Population,NAME,state,county,tract
2428,Census Tract 3125.01; Harris County; Texas,48,201,312501
1946,Census Tract 3125.02; Harris County; Texas,48,201,312502
3698,Census Tract 3126.01; Harris County; Texas,48,201,312601
2353,Census Tract 3126.02; Harris County; Texas,48,201,312602
3642,Census Tract 3126.03; Harris County; Texas,48,201,312603
2198,Census Tract 3127; Harris County; Texas,48,201,312700
3291,Census Tract 3128; Harris County; Texas,48,201,312800
2232,Census Tract 3129.01; Harris County; Texas,48,201,312901
2250,Census Tract 3129.02; Harris County; Texas,48,201,312902
3059,Census Tract 3130; Harris County; Texas,48,201,313000
2586,Census Tract 3131.01; Harris County; Texas,48,201,313101
1727,Census Tract 3131.02; Harris County; Texas,48,201,313102
1370,Census Tract 3132.01; Harris County; Texas,48,201,313201
2618,Census Tract 3132.02; Harris County; Texas,48,201,313202
2250,Census Tract 3133; Harris County; Texas,48,201,313300
4158,Census Tract 3134; Harris County; Texas,48,201,313400
2331,Census Tract 3135; Harris County; Texas,48,201,313500
4563,Census Tract 3136; Harris County; Texas,48,201,313600
2045,Census Tract 3137; Harris County; Texas,48,201,313700
1446,Census Tract 3138.01; Harris County; Texas,48,201,313801
2259,Census Tract 3138.02; Harris County; Texas,48,201,313802
2903,Census Tract 3139.01; Harris County; Texas,48,201,313901
2719,Census Tract 3139.02; Harris County; Texas,48,201,313902
2855,Census Tract 3140.01; Harris County; Texas,48,201,314001
2322,Census Tract 3140.03; Harris County; Texas,48,201,314003
1755,Census Tract 3140.04; Harris County; Texas,48,201,314004
2993,Census Tract 3140.05; Harris County; Texas,48,201,314005
1936,Census Tract 3143.01; Harris County; Texas,48,201,314301
1469,Census Tract 3143.02; Harris County; Texas,48,201,314302
1599,Census Tract 3144.01; Harris County; Texas,48,201,314401
2095,Census Tract 3144.02; Harris County; Texas,48,201,314402
2539,Census Tract 3201; Harris County; Texas,48,201,320100
2876,Census Tract 3202.01; Harris County; Texas,48,201,320201
3317,Census Tract 3202.02; Harris County; Texas,48,201,320202
4426,Census Tract 3205; Harris County; Texas,48,201,320500
2441,Census Tract 3206.01; Harris County; Texas,48,201,320601
5047,Census Tract 3206.02; Harris County; Texas,48,201,320602
4110,Census Tract 3207; Harris County; Texas,48,201,320700
4804,Census Tract 3208; Harris County; Texas,48,201,320800
3649,Census Tract 3209.01; Harris County; Texas,48,201,320901
3280,Census Tract 3209.02; Harris County; Texas,48,201,320902
3039,Census Tract 3210.01; Harris County; Texas,48,201,321001
5279,Census Tract 3210.02; Harris County; Texas,48,201,321002
3489,Census Tract 3211.01; Harris County; Texas,48,201,321101
4012,Census Tract 3211.02; Harris County; Texas,48,201,321102
4883,Census Tract 3212; Harris County; Texas,48,201,321200
4065,Census Tract 3213.01; Harris County; Texas,48,201,321301
2148,Census Tract 3213.02; Harris County; Texas,48,201,321302
3991,Census Tract 3214.01; Harris County; Texas,48,201,321401
4773,Census Tract 3214.02; Harris County; Texas,48,201,321402
2601,Census Tract 3215; Harris County; Texas,48,201,321500
6739,Census Tract 3216; Harris County; Texas,48,201,321600
3389,Census Tract 3217; Harris County; Texas,48,201,321700
4402,Census Tract 3218; Harris County; Texas,48,201,321800
5979,Census Tract 3219; Harris County; Texas,48,201,321900
3969,Census Tract 3220; Harris County; Texas,48,201,322000
4158,Census Tract 3221; Harris County; Texas,48,201,322100
1582,Census Tract 3222; Harris County; Texas,48,201,322200
5020,Census Tract 3226; Harris County; Texas,48,201,322600
2401,Census Tract 3227.01; Harris County; Texas,48,201,322701
3795,Census Tract 3227.02; Harris County; Texas,48,201,322702
6761,Census Tract 3228; Harris County; Texas,48,201,322800
3605,Census Tract 3229; Harris County; Texas,48,201,322900
7169,Census Tract 3230; Harris County; Texas,48,201,323000
4098,Census Tract 3231; Harris County; Texas,48,201,323100
6018,Census Tract 3232; Harris County; Texas,48,201,323200
3070,Census Tract 3233; Harris County; Texas,48,201,323300
7849,Census Tract 3234; Harris County; Texas,48,201,323400
5524,Census Tract 3235; Harris County; Texas,48,201,323500
3578,Census Tract 3236.01; Harris County; Texas,48,201,323601
4818,Census Tract 3236.02; Harris County; Texas,48,201,323602
4440,Census Tract 3237.01; Harris County; Texas,48,201,323701
3053,Census Tract 3237.02; Harris County; Texas,48,201,323702
3959,Census Tract 3238.01; Harris County; Texas,48,201,323801
4969,Census Tract 3238.02; Harris County; Texas,48,201,323802
